Well folks, looks like we have 539 reactions on our hands
+-------------------------------------------------+---------------+-----------------------------+--------------------+
|                   Reaction ID                   |   Reactant    |           Product           |    EGAT barrier    |
| SCKXCAADGDQQCS_to_CURLTUGMZLYLDI-XLYOFNOQVPJJNP |     O=COO     |           O.O=C=O           | 55.101707458496094 |
|        SCKXCAADGDQQCS_to_BVKZGUZCCUSVTD         |     O=COO     |           O=C(O)O           | 60.518157958984375 |
| SCKXCAADGDQQCS_to_NPDDCAZCWJWIBW-UFHFLCQGNIYNRP |     O=COO     |       O=C1OO1.[H][H]        |  66.9959716796875  |
| HGINCPLSRVDWNT_to_HSFWRNGVRCDJHI-WSFSSNUMVMOOMR |    C=CC=O     |           C#C.C=O           | 99.88203430175781  |
|        HGINCPLSRVDWNT_to_CRYATLIDHPPXDV         |    C=CC=O     |           C1=COC1           | 58.532020568847656 |
|        HGINCPLSRVDWNT_to_SQRHNJRUPNFNHY         |    C=CC=O     |        C1C2O[C@H]12         | 80.94464874267578  |
|        HGINCPLSRVDWNT_to_YQTVBZHHWNMNKX         |    C=CC=O     |           C=C=CO            | 74.43161010742188  |
|        HGINCPLSRVDWNT_to_AAEZMHSWRQVQEK         |    C=CC=O     |           C=C1CO1           | 95.25700378417969  |
|        HGINCPLSRVDWNT_to_VOXWVWGNZYVMQA         |    C=CC=O     |           OC1C=C1           | 104.18978118896484 |
|        HGINCPLSRVDWNT_to_UYLUJGRCKKSWHS         |    C=CC=O     |           CC=C=O            | 65.17073059082031  |
|        HGINCPLSRVDWNT_to_VBBRYJMZLIYUJQ         |    C=CC=O     |           O=C1CC1           |  87.1414566040039  |
| HGINCPLSRVDWNT_to_TURAMGVWNUTQKH-UFHFLCQGNIYNRP |    C=CC=O     |       C=C=C=O.[H][H]        | 89.77725982666016  |
| HGINCPLSRVDWNT_to_IJNJLGFTSIAHEA-UFHFLCQGNIYNRP |    C=CC=O     |        C#CC=O.[H][H]        | 113.6144027709961  |
| MHAJPDPJQMAIIY_to_MYMOFIZGZYHOMD-UFHFLCQGNIYNRP |      OO       |         O=O.[H][H]          | 109.51605224609375 |
| JQQGJTHDBODIPT_to_SCKXCAADGDQQCS-VGGSQFUCUMXWEO |   OOC1CCO1    |          C=C.O=COO          | 53.58567810058594  |
|        JQQGJTHDBODIPT_to_YLOCODGPXISXIR         |   OOC1CCO1    |        C[C@@H]1OC1OO        | 93.08377838134766  |
|        JQQGJTHDBODIPT_to_LZBZEBHQVXRLLN         |   OOC1CCO1    |           C=COCOO           |  84.7413101196289  |
|        JQQGJTHDBODIPT_to_UKQJDWBNQNAJHB         |   OOC1CCO1    |           O=COCCO           |  70.3348159790039  |
|        JQQGJTHDBODIPT_to_VOZDABZCYIIVTM         |   OOC1CCO1    |          OC1OCCO1           | 48.713260650634766 |
|        JQQGJTHDBODIPT_to_JQTRCASVHDFDIY         |   OOC1CCO1    |          CCOC1OO1           | 57.279598236083984 |
|        JQQGJTHDBODIPT_to_FQERLIOIVXPZKH         |   OOC1CCO1    |          C1COOCO1           | 90.52013397216797  |
|        JQQGJTHDBODIPT_to_PLXVTJBBUQBDRQ         |   OOC1CCO1    |          OOCC1CO1           | 87.32642364501953  |
|        JQQGJTHDBODIPT_to_UVXJOOHEDLXZGH         |   OOC1CCO1    |          OOOC1CC1           | 96.24101257324219  |
|        JQQGJTHDBODIPT_to_XSASRUDTFFBDDK         |   OOC1CCO1    |           O=CCCOO           | 62.20012283325195  |
| JQQGJTHDBODIPT_to_MHAJPDPJQMAIIY-SQRHNJRUPNFNHY |   OOC1CCO1    |      C1C2O[C@@H]12.OO       | 78.52134704589844  |
