zip_path,reactant_metal_oxidation_states,product_metal_oxidation_states
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C2OB25419K/c2ob25419k/44_0_2.zip,Au1:0,Au1:1
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/acscatal.1c04580/cs1c04580_si_001/14_0_2.zip,Au68:0,Au68:0
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/acs.organomet.0c00080/om0c00080_si_002/71_D-TSb1_0_2.zip,Au50:0,Au50:0
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D3DT02393A/d3dt02393a1/06_0_2.zip,Au17:1,Au17:2
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D1CP00608H/d1cp00608h1/38_0_1.zip,Fe0:3,Fe0:2
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D1CP00608H/d1cp00608h1/83_-1_2.zip,Fe13:5,Fe13:5
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D1CP00608H/d1cp00608h1/243_0_1.zip,Fe3:2,Fe3:2
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D1CP00608H/d1cp00608h1/32_0_1.zip,Fe0:4,Fe0:4
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D1CP00608H/d1cp00608h1/28_0_1.zip,Fe0:4,Fe0:4
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C6OB00001K/c6ob00001k1/37_0_2.zip,Fe18:1,Fe18:3
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1002/chem.202300763/chem202300763-sup-0001-misc_information/127_0_1.zip,Fe32:0,Fe32:0
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C5SC02012C/c5sc02012c1/33_0_1.zip,Fe0:2,Fe0:2
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C4QO00347K/c4qo00347k1/01_0_2.zip,Pd30:1,Pd30:1
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C4QO00347K/c4qo00347k1/07_0_2.zip,Pd30:1,Pd30:3
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C4QO00347K/c4qo00347k1/11_0_2.zip,Pd30:1,Pd30:1
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C4QO00347K/c4qo00347k1/02_0_2.zip,Pd30:1,Pd30:1
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C4QO00347K/c4qo00347k1/20_0_2.zip,Pd30:1,Pd30:3
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D3DT02745G/d3dt02745g1/7939_Pd-H-t_098_0_2.zip,Pd24:1,Pd24:1
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/jacs.9b04142/ja9b04142_si_001/51_0_2.zip,Pd27:1,Pd27:1
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/acsomega.0c01528/ao0c01528_si_001/60_0_1.zip,Pd46:0,Pd46:2
